nombre_normalizado,veredicto,categoria,metodo,razon
administracion plan comun (marketing),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion plan comun (recursos hum.),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion portuaria pesquero artesanal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (ingreso especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (mencion e-government),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (plan de continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (prosecucion),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica - continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica - tecnico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica continuidad de estudios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion en seguridad publica y gestion de riesgos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion gestion desarrollo local y regional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion gestion municipal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion gestion y desarrollo regional y local,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion gobiernos locales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica plan continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica plan de continuidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica prosecucion de estudios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica vespertino,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica y ciencia politica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica y municipal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion publica, licenciatura en ciencias politicas y gubernamentales con mencion en gestion publica o ciencias politica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion publica, licenciatura en ciencias politicas y gubernamentales con, mencion gestion publica o ciencias politica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion publica, mencion gestion y desarrollo regional y local",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion publica, mencion seguridad publica y gestion de riesgos",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion sistemas logisticos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion turistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion turistica internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion turistica multilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y comercializacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion de empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion de la educacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion del riesgo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion educacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion empresarial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion en salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
