nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
tecnico de nivel superior electrico-instrumentista mantenedor plantas mineras,TECNICO DE NIVEL SUPERIOR ELECTRICO-INSTRUMENTISTA MANTENEDOR PLANTAS MINERAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior electronica industrial,TECNICO DE NIVEL SUPERIOR ELECTRONICA INDUSTRIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en actividad fisica y deporte,TECNICO DE NIVEL SUPERIOR EN ACTIVIDAD FISICA Y DEPORTE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en actividad fisica y deportes,TECNICO DE NIVEL SUPERIOR EN ACTIVIDAD FISICA Y DEPORTES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en acuicultura,TECNICO DE NIVEL SUPERIOR EN ACUICULTURA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion (modulos),TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION (MODULOS),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion bancaria y financiera,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION BANCARIA Y FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion comercial,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION COMERCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion con especialidad en turismo y servicios,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION CON ESPECIALIDAD EN TURISMO Y SERVICIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion con mencion en bienes eclesiales,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION CON MENCION EN BIENES ECLESIALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion contable,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION CONTABLE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas executive,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS EXECUTIVE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas gestion recursos humanos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS GESTION RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion administracion comercial,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION ADMINISTRACION COMERCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion capital humano,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION CAPITAL HUMANO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion comercio electronico,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION COMERCIO ELECTRONICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion comercio internacional,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION COMERCIO INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion en recursos humanos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION EN RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion finanzas,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion finanzas y contabilidad,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS Y CONTABILIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion gestion de personas,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION GESTION DE PERSONAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion gestion financiera,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION GESTION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion gestion municipal,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION GESTION MUNICIPAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion gestion publica,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION GESTION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion marketing,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION MARKETING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion marketing o finanzas o recursos humanos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION MARKETING O FINANZAS O RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion marketing y ventas,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION MARKETING Y VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion recursos humanos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion tecnologia de la informacion,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION TECNOLOGIA DE LA INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas mencion tecnologia de la informatica,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS MENCION TECNOLOGIA DE LA INFORMATICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de empresas y negocios,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS Y NEGOCIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico de nivel superior en administracion de empresas, plan especial","TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE EMPRESAS, PLAN ESPECIAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de infraestructura cloud,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE INFRAESTRUCTURA CLOUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de las organizaciones,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE LAS ORGANIZACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de negocios gastronomicos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE NEGOCIOS GASTRONOMICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de organizaciones,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE ORGANIZACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de personal,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE PERSONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de recursos humanos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de recursos turisticos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE RECURSOS TURISTICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de redes,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE REDES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de redes computacionales,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE REDES COMPUTACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de seguridad privada,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE SEGURIDAD PRIVADA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de sistemas logisticos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE SISTEMAS LOGISTICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de turismo,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE TURISMO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de ventas (pev),TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE VENTAS (PEV),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion de ventas executive,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION DE VENTAS EXECUTIVE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion en comercio exterior,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION EN COMERCIO EXTERIOR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion en empresas,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION EN EMPRESAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion en recursos humanos,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION EN RECURSOS HUMANOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion en salud,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION EN SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico de nivel superior en administracion en salud, plan especial","TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION EN SALUD, PLAN ESPECIAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion en transporte maritimo y estaciones de transferencia de carga,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION EN TRANSPORTE MARITIMO Y ESTACIONES DE TRANSFERENCIA DE CARGA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion financiera,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion general,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION GENERAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion hotelera y gestion turistica,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION HOTELERA Y GESTION TURISTICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion hotelera y turismo,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION HOTELERA Y TURISMO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion logistica,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION LOGISTICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion mencion comercio,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION MENCION COMERCIO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion mencion emprendimiento,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION MENCION EMPRENDIMIENTO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion mencion gestion municipal,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION MENCION GESTION MUNICIPAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion mencion gestion y control municipal,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION MENCION GESTION Y CONTROL MUNICIPAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion mencion logistica,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION MENCION LOGISTICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion mencion marketing,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION MENCION MARKETING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion mencion operaciones financieras,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION MENCION OPERACIONES FINANCIERAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion publica,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion publica con mencion en gestion municipal,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION PUBLICA CON MENCION EN GESTION MUNICIPAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion publica con mencion gestion juridica,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION PUBLICA CON MENCION GESTION JURIDICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion publica privada,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION PUBLICA PRIVADA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion publico privada,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION PUBLICO PRIVADA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion y gestion de empresas,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION Y GESTION DE EMPRESAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion y seguridad de redes,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION Y SEGURIDAD DE REDES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en administracion y soporte de redes,TECNICO DE NIVEL SUPERIOR EN ADMINISTRACION Y SOPORTE DE REDES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en agile coaching,TECNICO DE NIVEL SUPERIOR EN AGILE COACHING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en agricola,TECNICO DE NIVEL SUPERIOR EN AGRICOLA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en agroindustria,TECNICO DE NIVEL SUPERIOR EN AGROINDUSTRIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en agroindustria e innovacion alimentaria,TECNICO DE NIVEL SUPERIOR EN AGROINDUSTRIA E INNOVACION ALIMENTARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en agroindustrias,TECNICO DE NIVEL SUPERIOR EN AGROINDUSTRIAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en agronomia,TECNICO DE NIVEL SUPERIOR EN AGRONOMIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en agropecuaria,TECNICO DE NIVEL SUPERIOR EN AGROPECUARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en agroviticultura y enologia,TECNICO DE NIVEL SUPERIOR EN AGROVITICULTURA Y ENOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en alimentacion,TECNICO DE NIVEL SUPERIOR EN ALIMENTACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en alimentos,TECNICO DE NIVEL SUPERIOR EN ALIMENTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en analisis de datos,TECNICO DE NIVEL SUPERIOR EN ANALISIS DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en analisis de sistemas,TECNICO DE NIVEL SUPERIOR EN ANALISIS DE SISTEMAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en analisis de sistemas computacionales,TECNICO DE NIVEL SUPERIOR EN ANALISIS DE SISTEMAS COMPUTACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en analisis quimico,TECNICO DE NIVEL SUPERIOR EN ANALISIS QUIMICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en analisis y programacion computacional,TECNICO DE NIVEL SUPERIOR EN ANALISIS Y PROGRAMACION COMPUTACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en analista programador,TECNICO DE NIVEL SUPERIOR EN ANALISTA PROGRAMADOR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en analitica de datos con mencion en inteligencia de negocios,TECNICO DE NIVEL SUPERIOR EN ANALITICA DE DATOS CON MENCION EN INTELIGENCIA DE NEGOCIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en analitica de datos con mencion en seguridad informatica,TECNICO DE NIVEL SUPERIOR EN ANALITICA DE DATOS CON MENCION EN SEGURIDAD INFORMATICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en animacion digital,TECNICO DE NIVEL SUPERIOR EN ANIMACION DIGITAL,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
tecnico de nivel superior en arsenaleria quirurgica,TECNICO DE NIVEL SUPERIOR EN ARSENALERIA QUIRURGICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistencia juridica,TECNICO DE NIVEL SUPERIOR EN ASISTENCIA JURIDICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistencia social,TECNICO DE NIVEL SUPERIOR EN ASISTENCIA SOCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistente de aula,TECNICO DE NIVEL SUPERIOR EN ASISTENTE DE AULA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistente de la educacion,TECNICO DE NIVEL SUPERIOR EN ASISTENTE DE LA EDUCACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistente de la educacion mencion inspector educacional,TECNICO DE NIVEL SUPERIOR EN ASISTENTE DE LA EDUCACION MENCION INSPECTOR EDUCACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico de nivel superior en asistente de la educacion, plan especial","TECNICO DE NIVEL SUPERIOR EN ASISTENTE DE LA EDUCACION, PLAN ESPECIAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistente de parvulos,TECNICO DE NIVEL SUPERIOR EN ASISTENTE DE PARVULOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistente del educador de parvulos,TECNICO DE NIVEL SUPERIOR EN ASISTENTE DEL EDUCADOR DE PARVULOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistente del educador diferencial,TECNICO DE NIVEL SUPERIOR EN ASISTENTE DEL EDUCADOR DIFERENCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistente en la educacion,TECNICO DE NIVEL SUPERIOR EN ASISTENTE EN LA EDUCACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico de nivel superior en asistente en la educacion, plan especial","TECNICO DE NIVEL SUPERIOR EN ASISTENTE EN LA EDUCACION, PLAN ESPECIAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en asistente juridico,TECNICO DE NIVEL SUPERIOR EN ASISTENTE JURIDICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en atencion de menores,TECNICO DE NIVEL SUPERIOR EN ATENCION DE MENORES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en atencion de parvulos y estudiantes de primer ciclo basico con mencion en apoyo a las necesidades educativas especiales transitorias,TECNICO DE NIVEL SUPERIOR EN ATENCION DE PARVULOS Y ESTUDIANTES DE PRIMER CICLO BASICO CON MENCION EN APOYO A LAS NECESIDADES EDUCATIVAS ESPECIALES TRANSITORIAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en audiovisual,TECNICO DE NIVEL SUPERIOR EN AUDIOVISUAL,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
tecnico de nivel superior en automatizacion,TECNICO DE NIVEL SUPERIOR EN AUTOMATIZACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en automatizacion y control,TECNICO DE NIVEL SUPERIOR EN AUTOMATIZACION Y CONTROL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en automatizacion y robotica industrial,TECNICO DE NIVEL SUPERIOR EN AUTOMATIZACION Y ROBOTICA INDUSTRIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico de nivel superior en automatizacion, mecatronica y robotica","TECNICO DE NIVEL SUPERIOR EN AUTOMATIZACION, MECATRONICA Y ROBOTICA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en bibliotecologia,TECNICO DE NIVEL SUPERIOR EN BIBLIOTECOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en calidad y medio ambiente,TECNICO DE NIVEL SUPERIOR EN CALIDAD Y MEDIO AMBIENTE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en camarografo de television y video,TECNICO DE NIVEL SUPERIOR EN CAMAROGRAFO DE TELEVISION Y VIDEO,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
tecnico de nivel superior en ciberseguridad,TECNICO DE NIVEL SUPERIOR EN CIBERSEGURIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en ciencia de datos,TECNICO DE NIVEL SUPERIOR EN CIENCIA DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en ciencias criminalisticas,TECNICO DE NIVEL SUPERIOR EN CIENCIAS CRIMINALISTICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en ciencias de datos,TECNICO DE NIVEL SUPERIOR EN CIENCIAS DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en climatizacion y refrigeracion,TECNICO DE NIVEL SUPERIOR EN CLIMATIZACION Y REFRIGERACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en cloud administration,TECNICO DE NIVEL SUPERIOR EN CLOUD ADMINISTRATION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en cocina internacional,TECNICO DE NIVEL SUPERIOR EN COCINA INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en comercio exterior,TECNICO DE NIVEL SUPERIOR EN COMERCIO EXTERIOR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en comercio exterior m: gestion aduanera,TECNICO DE NIVEL SUPERIOR EN COMERCIO EXTERIOR M: GESTION ADUANERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en comercio exterior y mercados digitales,TECNICO DE NIVEL SUPERIOR EN COMERCIO EXTERIOR Y MERCADOS DIGITALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en comercio internacional,TECNICO DE NIVEL SUPERIOR EN COMERCIO INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en community manager,TECNICO DE NIVEL SUPERIOR EN COMMUNITY MANAGER,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en computacion,TECNICO DE NIVEL SUPERIOR EN COMPUTACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en computacion con mencion en redes de computadores o mencion en mantenimiento y montaje de equipos computacionales,TECNICO DE NIVEL SUPERIOR EN COMPUTACION CON MENCION EN REDES DE COMPUTADORES O MENCION EN MANTENIMIENTO Y MONTAJE DE EQUIPOS COMPUTACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en computacion e informatica,TECNICO DE NIVEL SUPERIOR EN COMPUTACION E INFORMATICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en computacion e informatica con especialidad en ciberseguridad,TECNICO DE NIVEL SUPERIOR EN COMPUTACION E INFORMATICA CON ESPECIALIDAD EN CIBERSEGURIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en computacion e informatica gestion en redes,TECNICO DE NIVEL SUPERIOR EN COMPUTACION E INFORMATICA GESTION EN REDES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en computacion mencion en redes de computadores o mencion en mantenimiento y montaje de equipos computacionales,TECNICO DE NIVEL SUPERIOR EN COMPUTACION MENCION EN REDES DE COMPUTADORES O MENCION EN MANTENIMIENTO Y MONTAJE DE EQUIPOS COMPUTACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en computacion menciones redes de computadores y/o mantenimiento y montaje de equipos computacionales,TECNICO DE NIVEL SUPERIOR EN COMPUTACION MENCIONES REDES DE COMPUTADORES Y/O MANTENIMIENTO Y MONTAJE DE EQUIPOS COMPUTACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en comunicacion audiovisual,TECNICO DE NIVEL SUPERIOR EN COMUNICACION AUDIOVISUAL,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
tecnico de nivel superior en comunicacion digital,TECNICO DE NIVEL SUPERIOR EN COMUNICACION DIGITAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en comunicacion social en marketing,TECNICO DE NIVEL SUPERIOR EN COMUNICACION SOCIAL EN MARKETING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico de nivel superior en comunicaciones y relaciones publicas,TECNICO DE NIVEL SUPERIOR EN COMUNICACIONES Y RELACIONES PUBLICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
