nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
administracion gastronomica internacional y cultural,ADMINISTRACION GASTRONOMICA INTERNACIONAL Y CULTURAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera,ADMINISTRACION HOTELERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera internacional,ADMINISTRACION HOTELERA INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera profesional mencion alimentos y bebidas,ADMINISTRACION HOTELERA PROFESIONAL MENCION ALIMENTOS Y BEBIDAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera profesional mencion recepcion y habitaciones,ADMINISTRACION HOTELERA PROFESIONAL MENCION RECEPCION Y HABITACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion hotelera y gastronomica,ADMINISTRACION HOTELERA Y GASTRONOMICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion industrial,ADMINISTRACION INDUSTRIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion juridica,ADMINISTRACION JURIDICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion juridica y gestion legal,ADMINISTRACION JURIDICA Y GESTION LEGAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion logistica,ADMINISTRACION LOGISTICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion mencion gestion comercial o comercio exterior,ADMINISTRACION MENCION GESTION COMERCIAL O COMERCIO EXTERIOR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion mencion gestion municipal o gestion empresarial,ADMINISTRACION MENCION GESTION MUNICIPAL O GESTION EMPRESARIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion mencion gestion publica,ADMINISTRACION MENCION GESTION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion plan comun (logistica),ADMINISTRACION PLAN COMUN (LOGISTICA),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion plan comun (marketing),ADMINISTRACION PLAN COMUN (MARKETING),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion plan comun (recursos hum.),ADMINISTRACION PLAN COMUN (RECURSOS HUM.),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion portuaria pesquero artesanal,ADMINISTRACION PORTUARIA PESQUERO ARTESANAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica,ADMINISTRACION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (continuidad),ADMINISTRACION PUBLICA (CONTINUIDAD),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
